Employee ID,Name,Department,Salary,Joining Date,Age,Performance Rating,Bonus,Email,Attendance (%),Data Insert Time
462,Grace Garcia,Operations,90343.0,2016-12-02,41.0,Excellent,5623.02,grace.garcia@company.com,85.79,2024-01-03 22:03:46
174,Uma Brown,Sales,72711.0,2011-05-27,27.0,Excellent,6812.47,uma.brown@company.com,79.57,2024-01-17 17:02:48
475,Xander Davis,Marketing,41324.0,2017-03-03,50.0,Average,4425.41,xander.davis@company.com,84.95,2024-01-02 14:48:57
256,Yara Rodriguez,Operations,67751.0,2012-12-21,27.0,Excellent,4217.53,yara.rodriguez@company.com,94.47,2024-01-17 20:44:58
205,Uma Miller,Operations,43436.0,2011-12-30,24.0,Good,6466.02,uma.miller@company.com,88.83,2024-01-01 09:24:19
495,Quincy Brown,HR,92224.0,2017-07-21,55.0,Excellent,,quincy.brown@company.com,71.2,2024-01-18 23:19:02
478,Charlie Smith,Operations,74578.0,2017-03-24,40.0,Below Average,,charlie.smith@company.com,76.85,2024-01-03 02:34:24
225,Grace Martinez,Finance,83525.0,2012-05-18,24.0,Good,8296.94,grace.martinez@company.com,98.5,2024-01-18 06:23:15
169,Hank Brown,Sales,46295.0,2011-04-22,26.0,Below Average,,hank.brown@company.com,99.13,2024-01-10 19:21:31
551,Hank Davis,Marketing,90990.0,2018-08-17,30.0,Good,8615.38,hank.davis@company.com,84.24,2024-01-16 15:12:44
110,Alice Williams,HR,40854.0,2010-03-05,22.0,Average,2881.95,alice.williams@company.com,78.66,2024-01-04 03:30:11
295,Rachel Williams,Sales,72093.0,2013-09-20,23.0,Good,3976.38,rachel.williams@company.com,96.02,2024-01-08 14:55:37
507,Bob Brown,IT,101642.0,2017-10-13,29.0,Below Average,9420.07,bob.brown@company.com,76.32,2024-01-25 07:41:11
185,Jack Miller,HR,117505.0,2011-08-12,43.0,Poor,17029.96,jack.miller@company.com,79.46,2024-01-25 00:54:09
472,Jack Johnson,Finance,97854.0,2017-02-10,53.0,Average,10363.8,jack.johnson@company.com,75.46,2024-01-09 06:30:37
489,Wendy Davis,Marketing,95771.0,2017-06-09,50.0,Below Average,6761.89,wendy.davis@company.com,91.82,2024-01-21 02:35:06
596,Xander Williams,IT,93932.0,2019-06-28,28.0,Excellent,12816.72,xander.williams@company.com,84.92,2024-01-24 13:10:17
131,Bob Miller,HR,55708.0,2010-07-30,59.0,Good,7056.22,bob.miller@company.com,84.86,2024-01-05 04:06:23
